States,Zone,Period,Year,temp_change,Baseline mean
Manipur,North East,Sep,1951,0.03999999999999915,22.82
Manipur,North East,Oct,1951,0.21999999999999886,21.36
Manipur,North East,Nov,1951,-0.03999999999999915,17.84
Manipur,North East,Dec,1951,0.7599999999999998,14.74
Manipur,North East,Annual,1951,-0.15000000000000213,19.55
Manipur,North East,Winter,1951,-0.3000000000000007,14.31
Manipur,North East,Summer,1951,-0.46000000000000085,20.3
Manipur,North East,Monsoon,1951,-0.17999999999999972,22.78
Manipur,North East,Post Monsoon,1951,0.3099999999999987,17.98
Meghalaya,North East,Jan,1951,-0.4299999999999997,15.14
Meghalaya,North East,Feb,1951,-0.17999999999999972,17.14
Meghalaya,North East,Mar,1951,-0.16999999999999815,21.02
Meghalaya,North East,Apr,1951,-0.5899999999999999,22.95
Meghalaya,North East,May,1951,-0.120000000000001,23.75
Meghalaya,North East,Jun,1951,-0.3000000000000007,24.75
Meghalaya,North East,Jul,1951,-0.35999999999999943,25.13
Meghalaya,North East,Aug,1951,0.240000000000002,25.43
Meghalaya,North East,Sep,1951,0.00999999999999801,24.98
Meghalaya,North East,Oct,1951,0.3000000000000007,23.55
Meghalaya,North East,Nov,1951,-0.10000000000000142,20.0
Meghalaya,North East,Dec,1951,0.7800000000000011,16.5
Meghalaya,North East,Annual,1951,-0.0799999999999983,21.7
Meghalaya,North East,Winter,1951,-0.3000000000000007,16.14
Meghalaya,North East,Summer,1951,-0.29999999999999716,22.58
Meghalaya,North East,Monsoon,1951,-0.10000000000000142,25.07
Meghalaya,North East,Post Monsoon,1951,0.3200000000000003,20.02
Mizoram,North East,Jan,1951,-0.5,15.66
Mizoram,North East,Feb,1951,-0.35999999999999943,17.57
Mizoram,North East,Mar,1951,-0.26000000000000156,21.09
Mizoram,North East,Apr,1951,-0.5599999999999987,23.15
Mizoram,North East,May,1951,-0.13999999999999702,23.81
Mizoram,North East,Jun,1951,-0.33999999999999986,23.74
Mizoram,North East,Jul,1951,-0.23000000000000043,23.81
Mizoram,North East,Aug,1951,0.120000000000001,23.9
Mizoram,North East,Sep,1951,0.030000000000001137,24.06
Mizoram,North East,Oct,1951,0.28999999999999915,23.1
Mizoram,North East,Nov,1951,-0.00999999999999801,20.06
Mizoram,North East,Dec,1951,0.7899999999999991,16.98
Mizoram,North East,Annual,1951,-0.10000000000000142,21.41
Mizoram,North East,Winter,1951,-0.4299999999999997,16.62
Mizoram,North East,Summer,1951,-0.33000000000000185,22.69
Mizoram,North East,Monsoon,1951,-0.10999999999999943,23.88
Mizoram,North East,Post Monsoon,1951,0.34999999999999787,20.05
Nagaland,North East,Jan,1951,-0.40000000000000036,12.64
Nagaland,North East,Feb,1951,-0.08999999999999986,14.26
Nagaland,North East,Mar,1951,0.05000000000000071,17.25
Nagaland,North East,Apr,1951,-1.0899999999999999,19.37
Nagaland,North East,May,1951,-0.490000000000002,21.28
Nagaland,North East,Jun,1951,-0.48999999999999844,22.81
Nagaland,North East,Jul,1951,-0.5600000000000023,23.03
Nagaland,North East,Aug,1951,0.13000000000000256,23.22
Nagaland,North East,Sep,1951,-0.1599999999999966,22.83
Nagaland,North East,Oct,1951,0.05999999999999872,20.89
Nagaland,North East,Nov,1951,-0.14000000000000057,17.03
Nagaland,North East,Dec,1951,0.5099999999999998,13.83
Nagaland,North East,Annual,1951,-0.21999999999999886,19.04
Nagaland,North East,Winter,1951,-0.23999999999999844,13.45
Nagaland,North East,Summer,1951,-0.5100000000000016,19.3
Nagaland,North East,Monsoon,1951,-0.2699999999999996,22.97
Nagaland,North East,Post Monsoon,1951,0.14000000000000057,17.25
Orissa,East,Jan,1951,-0.8200000000000003,20.06
Orissa,East,Feb,1951,-0.6900000000000013,22.93
Orissa,East,Mar,1951,-0.5900000000000034,26.67
Orissa,East,Apr,1951,-0.5899999999999999,29.74
Orissa,East,May,1951,-0.23999999999999844,31.41
Orissa,East,Jun,1951,-0.03999999999999915,29.91
Orissa,East,Jul,1951,0.05000000000000071,27.24
Orissa,East,Aug,1951,-0.07000000000000028,26.98
Orissa,East,Sep,1951,0.13999999999999702,27.19
Orissa,East,Oct,1951,0.9499999999999993,26.03
Orissa,East,Nov,1951,-0.05000000000000071,22.92
Orissa,East,Dec,1951,-0.25,20.06
Orissa,East,Annual,1951,-0.17999999999999972,25.93
Orissa,East,Winter,1951,-0.7600000000000016,21.5
Orissa,East,Summer,1951,-0.46999999999999886,29.27
Orissa,East,Monsoon,1951,0.020000000000003126,27.83
Orissa,East,Post Monsoon,1951,0.2099999999999973,23.01
Puducherry,South,Jan,1951,-0.6700000000000017,25.42
Puducherry,South,Feb,1951,-1.2799999999999976,26.38
Puducherry,South,Mar,1951,-0.6400000000000006,28.03
Puducherry,South,Apr,1951,-0.9299999999999997,29.82
Puducherry,South,May,1951,-0.5200000000000031,31.1
Puducherry,South,Jun,1951,-0.879999999999999,30.52
Puducherry,South,Jul,1951,-0.5899999999999999,29.53
Puducherry,South,Aug,1951,0.09999999999999787,28.96
Puducherry,South,Sep,1951,-0.05999999999999872,28.73
Puducherry,South,Oct,1951,0.3200000000000003,27.88
Puducherry,South,Nov,1951,0.00999999999999801,26.6
Puducherry,South,Dec,1951,-0.5,25.67
Puducherry,South,Annual,1951,-0.46999999999999886,28.22
Puducherry,South,Winter,1951,-0.9699999999999989,25.9
Puducherry,South,Summer,1951,-0.6999999999999993,29.65
Puducherry,South,Monsoon,1951,-0.360000000000003,29.44
Puducherry,South,Post Monsoon,1951,-0.05999999999999872,26.72
Punjab,North,Jan,1951,-0.5800000000000001,12.98
Punjab,North,Feb,1951,-1.3200000000000003,15.84
Punjab,North,Mar,1951,-0.0799999999999983,21.11
Punjab,North,Apr,1951,-2.6400000000000006,27.2
Punjab,North,May,1951,-0.4400000000000013,31.59
